LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,CertificateNumber,LicenseStatus,TradeName,CorpName,Long,Lat,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,CityStateZip
AE,AE,5,7/1/2017,6/30/2018,2017,1242,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,355,5/1/2017,4/30/2018,2017,1062,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,345,5/1/2016,4/30/2017,2016,985,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,2,7/1/2013,6/30/2014,2013,1273,Renewed,CIRCUS BAR,"SILVERLUD, INC.",-76.609161,39.289784,Adult,,,427 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
AE,AE,23,7/1/2017,6/30/2018,2017,1264,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Adult,,,504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
AE,AE,5,7/1/2013,6/30/2014,2013,1276,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Adult,,,504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
AE,AE,2,7/1/2013,6/30/2014,2013,1273,Renewed,CIRCUS BAR,"SILVERLUD, INC.",-76.609161,39.289784,Adult,,,427 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,345,5/1/2016,4/30/2017,2016,985,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,357,5/1/2013,4/30/2014,2013,957,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,355,5/1/2017,4/30/2018,2017,1062,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,256,5/1/2013,4/30/2014,2013,706,Renewed,BACKSTRETCH,B.M.H. CORPORATION,,,Tavern,7 days,"Beer, Wine, & Liquor",1301 OLD COLDSPRING LANE WEST,21209,"Baltimore, MD 21209"
AE,AE,1,7/1/2013,6/30/2014,2013,1272,Renewed,SCORES BALTIMORE,"SCMD, LLC",-76.610414,39.297618,Adult,,,615 FALLSWAY,21202,"Baltimore, MD 21202"
LBD7,BWL,16,5/1/2016,4/30/2017,2016,48,Renewed,BACKSTRETCH,B.M.H. CORPORATION,,,Tavern,7 days,"Beer, Wine, & Liquor",1301 OLD COLDSPRING LANE WEST,21209,"Baltimore, MD 21209"
AE,AE,17,7/1/2015,6/30/2016,2015,1288,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
AE,AE,17,7/1/2015,6/30/2016,2015,1288,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,144,5/1/2017,4/30/2018,2017,351,Renewed,BACKSTRETCH,B.M.H. CORPORATION,,,Tavern,7 days,"Beer, Wine, & Liquor",1301 OLD COLDSPRING LANE WEST,21209,"Baltimore, MD 21209"
LBD7,BWL,355,5/1/2017,4/30/2018,2017,1062,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,27,7/1/2016,6/30/2017,2016,1306,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Adult,,,504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,357,5/1/2013,4/30/2014,2013,957,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,17,7/1/2015,6/30/2016,2015,1288,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,345,5/1/2016,4/30/2017,2016,985,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,357,5/1/2013,4/30/2014,2013,957,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,31,7/1/2013,6/30/2014,2013,1321,,CLUB BUNNS,"MOMBEE TLC, INC.",-76.624097,39.291376,Adult,,,606-08 LEXINGTON STREET WEST,21201,"Baltimore, MD 21201"
LBD7,BWL,128,5/1/2013,4/30/2014,2013,346,Renewed,BMORE LOUNGE,"5616 BEL, INC.",-76.546891,39.341374,Tavern,7 days,"Beer, Wine, & Liquor",5616 BELAIR ROAD,21206,"Baltimore, MD 21206"
LBD7,BWL,223,5/1/2013,4/30/2014,2013,617,Renewed,TODD CONNER'S,"HAPPY DOG, INC.",-76.593496,39.283398,Tavern,7 days,"Beer, Wine, & Liquor",700 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,28,5/1/2013,4/30/2014,2013,64,Renewed,BUSTERS PUB,"BUSTER'S, INC.",-76.570904,39.291235,Tavern,7 days,"Beer, Wine, & Liquor",3208 LOMBARD STREET EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,215,5/1/2013,4/30/2014,2013,595,Renewed,MAX'S ON BROADWAY,BETOR CORPORATION,-76.592927,39.28258,Tavern,7 days,"Beer, Wine, & Liquor",731-37 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,25,5/1/2013,4/30/2014,2013,50,Renewed,PENN LIQUOR,"HYUN'S LIQUORS, INC.",-76.607531,39.302356,Tavern,7 days,"Beer, Wine, & Liquor",1041 GREENMOUNT AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,16,5/1/2013,4/30/2014,2013,32,Renewed,MELBA'S PLACE,N/A,-76.609416,39.326928,Tavern,7 days,"Beer, Wine, & Liquor",3126 GREENMOUNT AVENUE,21218,"Baltimore, MD 21218"
LBD7,BWL,82,5/1/2013,4/30/2014,2013,225,Renewed,FIELDER'S TAVERN,"FIELDER'S, INC.",-76.631612,39.280213,Tavern,7 days,"Beer, Wine, & Liquor",1184-86 NANTICOKE STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,44,5/1/2013,4/30/2014,2013,108,Renewed,GARDEN BAR,"GARDEN BAR, INC.",-76.559486,39.306941,Tavern,7 days,"Beer, Wine, & Liquor",4809-11 ERDMAN AVENUE,21205,"Baltimore, MD 21205"
LBD7,BWL,10,12/20/2013,4/30/2014,2013,T0024,Transferred,J & J  BAR & LIQUORS,"WALFAR, INC.",-76.645033,39.283159,Tavern,7 days,"Beer, Wine, & Liquor",1801 RAMSAY STREET,21223,"Baltimore, MD 21223"
LBD7,BWL,279,5/1/2013,4/30/2014,2013,762,Renewed,PLAYBOOK,"WEIDOG, LLC",-76.534323,39.281096,Tavern,7 days,"Beer, Wine, & Liquor",6700 GERMAN HILL ROAD,21222,"Baltimore, MD 21222"
LBD7,BWL,62,5/1/2016,4/30/2017,2016,184,Renewed,WAVERLY TAVERN,"BS&R, LLC",-76.607523,39.335626,Tavern,7 days,"Beer, Wine, & Liquor",3801 OLD YORK ROAD,21218,"Baltimore, MD 21218"
LBD7,BWL,104,12/6/2013,4/30/2014,2013,TT0291,Transferred,SPORTMAN SPOT,N/A,-76.558025,39.286626,Tavern,7 days,"Beer, Wine, & Liquor",501 LEHIGH STREET SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,30,5/1/2013,4/30/2014,2013,68,Renewed,TONY'S PLACE,"G & X, INC.",-76.560657,39.299693,Tavern,7 days,"Beer, Wine, & Liquor",4215 MONUMENT STREET EAST,21205,"Baltimore, MD 21205"
LBD7,BWL,74,5/1/2013,4/30/2014,2013,205,Renewed,BIG JOE'S LOVE NEST,"KJBC, INC.",-76.664569,39.294422,Tavern,7 days,"Beer, Wine, & Liquor",2830 EDMONDSON AVENUE,21223,"Baltimore, MD 21223"
LBD7,BWL,228,5/1/2013,4/30/2014,2013,634,Renewed,BLARNEY STONE PUB,"BLARNEY STONE PUB, INC.",-76.593493,39.283286,Tavern,7 days,"Beer, Wine, & Liquor",704 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,1,5/1/2013,4/30/2014,2013,10,Renewed,SHAFFER'S,"J.D.SHAFFER, INC.",-76.632172,39.280621,Tavern,7 days,"Beer, Wine, & Liquor",1184 CLEVELAND STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,212,5/1/2013,4/30/2014,2013,590,Renewed,COCKY LOU'S,"AZ PLUS, INC",-76.588516,39.312396,Tavern,7 days,"Beer, Wine, & Liquor",2101-03 NORTH AVENUE EAST,21213,"Baltimore, MD 21213"
LBD7,BWL,207,1/31/2014,4/30/2014,2013,T0576,Transferred,LOU'S BAR AND LIQUORS,L & M ENTERPRISES INC.,-76.555145,39.287091,Tavern,7 days,"Beer, Wine, & Liquor",4819-25 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,53,5/1/2013,4/30/2014,2013,126,Renewed,ZIASCOS,"ZIASCOS, LLC",-76.59887,39.288938,Tavern,7 days,"Beer, Wine, & Liquor",1313 PRATT STREET EAST,21231,"Baltimore, MD 21231"
LBD7,BWL,142,5/1/2013,4/30/2014,2013,390,Renewed,NORMA JEAN'S,"PP & G, INC.",-76.609797,39.289752,Tavern,7 days,"Beer, Wine, & Liquor",10 CUSTOM HOUSE AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,169,5/1/2013,4/30/2014,2013,468,Renewed,CLUB INTERNATIONAL,"CLUB INTERNATIONAL, LLC",-76.653738,39.287821,Tavern,7 days,"Beer, Wine, & Liquor",2301 BALTIMORE STREET WEST,21223,"Baltimore, MD 21223"
LBD7,BWL,268,4/8/2014,4/30/2014,2013,T0741,Transferred,BOATHOUSE CANTON,"CANTON WATERFRONT RESTAURANT, LLC",-76.575794,39.278268,Tavern,7 days,"Beer, Wine, & Liquor",2809 BOSTON STREET,21224,"Baltimore, MD 21224"
LBD7,BWL,248,5/1/2013,4/30/2014,2013,686,Renewed,NEW ODYSSEY LOUNGE,"NEW ODYSSEY LOUNGE, LTD.",-76.640163,39.305495,Tavern,7 days,"Beer, Wine, & Liquor",1323 PRESSTMAN STREET,21217,"Baltimore, MD 21217"
LBD7,BWL,214,4/22/2014,4/30/2014,2013,T0593,Transferred,PARK BENCH,1747 BELT CORPORATION,-76.605655,39.269885,Tavern,7 days,"Beer, Wine, & Liquor",1747-49 BELT STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,200,5/1/2013,4/30/2014,2013,563,Renewed,WASHINGTON BAR & LIQUOR,"PNA, INC.",-76.652287,39.266782,Tavern,7 days,"Beer, Wine, & Liquor",2501-03 WASHINGTON BOULEVARD,21230,"Baltimore, MD 21230"
LBD7,BWL,7,5/1/2013,4/30/2014,2013,20,Renewed,ROWAN TREE,"Z AND J, LLC",-76.613962,39.270606,Tavern,7 days,"Beer, Wine, & Liquor",1633 CHARLES STREET SOUTH,21230,"Baltimore, MD 21230"
LBD7,BWL,161,5/1/2013,4/30/2014,2013,444,Renewed,SUGAR HILL TAVERN,"HBS ENTERPRISES, INC.",-76.639372,39.311481,Tavern,7 days,"Beer, Wine, & Liquor",2361 DRUID HILL AVENUE,21217,"Baltimore, MD 21217"
LBD7,BWL,10,12/20/2013,4/30/2014,2013,T0024,Transferred,J & J  BAR & LIQUORS,"WALFAR, INC.",-76.645033,39.283159,Tavern,7 days,"Beer, Wine, & Liquor",1801 RAMSAY STREET,21223,"Baltimore, MD 21223"
LBD7,BWL,36,5/1/2013,4/30/2014,2013,82,Renewed,BLUEGRASS,"BLUEGRASS ENTERPRISES, LLC",-76.615256,39.272465,Tavern,7 days,"Beer, Wine, & Liquor",1500 HANOVER STREET SOUTH,21230,"Baltimore, MD 21230"
LBD7,BWL,92,5/1/2013,4/30/2014,2013,263,Renewed,CAPTAIN LARRY'S,"CANDLEFACE, LLC",-76.604874,39.272889,Tavern,7 days,"Beer, Wine, & Liquor",601-05 FORT AVENUE EAST,21230,"Baltimore, MD 21230"
LBD7,BWL,238,5/1/2013,4/30/2014,2013,657,Renewed,TAYLOR'S EAST,"L. CEES, INC.",-76.575615,39.305147,Tavern,7 days,"Beer, Wine, & Liquor",1201 POTOMAC STREET NORTH,21213,"Baltimore, MD 21213"
LBD7,BWL,24,5/1/2013,4/30/2014,2013,49,Renewed,DANNY'S LOUNGE,"S & K TAVERN, INC.",-76.667366,39.338196,Tavern,7 days,"Beer, Wine, & Liquor",4316 REISTERSTOWN ROAD,21215,"Baltimore, MD 21215"
LBD7,BWL,7,5/1/2013,4/30/2014,2013,20,Renewed,ROWAN TREE,"Z AND J, LLC",-76.613962,39.270606,Tavern,7 days,"Beer, Wine, & Liquor",1633 CHARLES STREET SOUTH,21230,"Baltimore, MD 21230"
LBD7,BWL,95,5/1/2013,4/30/2014,2013,275,Renewed,LA ISLA TAVERNA,"UNION CENTRO AMERICANA, LLC",-76.571167,39.29353,Tavern,7 days,"Beer, Wine, & Liquor",3230 FAIRMOUNT AVENUE EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,282,5/1/2013,4/30/2014,2013,767,Renewed,THE DIZZ,"THE DIZZ, INC.",-76.622611,39.323233,Tavern,7 days,"Beer, Wine, & Liquor",300 30TH STREET WEST,21211,"Baltimore, MD 21211"
LBD7,BWL,91,10/21/2016,4/30/2017,2016,T0260,Transferred,LOMBARD LIQUOR & BAR,"BADWAL, LLC",-76.633785,39.286752,Tavern,7 days,"Beer, Wine, & Liquor",1000 LOMBARD STREET WEST,21223,"Baltimore, MD 21223"
LBD7,BWL,111,5/1/2013,4/30/2014,2013,311,Renewed,PULASKI LIQUOR EMPORIUM,"SHIYA, INC.",-76.540467,39.304027,Tavern,7 days,"Beer, Wine, & Liquor",6425 PULASKI HIGHWAY,21205,"Baltimore, MD 21205"
LBD7,BWL,233,3/31/2014,4/30/2014,2013,T0645,Transferred,CHRIS LIQUOR & GRILL,"1269 WASHINGTON, INC.",-76.635175,39.280771,Tavern,7 days,"Beer, Wine, & Liquor",1269 WASHINGTON BOULEVARD,21230,"Baltimore, MD 21230"
LBD7,BWL,81,5/1/2013,4/30/2014,2013,217,Renewed,SHERRY'S PLACE,N/A,-76.593741,39.288066,Tavern,7 days,"Beer, Wine, & Liquor",238 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,17,5/1/2013,4/30/2014,2013,34,Renewed,BREWSTER'S TAVERN,"SUMMERHILL, INC.",-76.585815,39.287949,Tavern,7 days,"Beer, Wine, & Liquor",2201 GOUGH STREET,21231,"Baltimore, MD 21231"
LBD7,BWL,12,5/1/2013,4/30/2014,2013,27,Renewed,CAT'S EYE PUB,CAT'S EYE LTD.,-76.591526,39.281875,Tavern,7 days,"Beer, Wine, & Liquor",1730 THAMES STREET,21231,"Baltimore, MD 21231"
LBD7,BWL,151,5/1/2013,4/30/2014,2013,410,Renewed,DEPOT,"WHATEVER, INC.",-76.61646,39.309615,Tavern,7 days,"Beer, Wine, & Liquor",1728 CHARLES STREET NORTH,21201,"Baltimore, MD 21201"
LBD7,BWL,123,5/1/2013,4/30/2014,2013,333,Renewed,ROCKET TO VENUS,"THREE, FOUR, LLC",-76.62925,39.328541,Tavern,7 days,"Beer, Wine, & Liquor",3360 CHESTNUT AVENUE,21211,"Baltimore, MD 21211"
LBD7,BWL,18,5/1/2013,4/30/2014,2013,36,Renewed,TOM'S BAR,N/A,-76.555943,39.287058,Tavern,7 days,"Beer, Wine, & Liquor",4719 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,21,5/1/2013,4/30/2014,2013,42,Renewed,CHEZ JOEY,"CHEZ JOEY, LLC",-76.609565,39.289766,Tavern,7 days,"Beer, Wine, & Liquor",415 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,258,5/1/2013,4/30/2014,2013,712,Renewed,GALLERY,"GALLERY, INC.",-76.617821,39.309574,Tavern,7 days,"Beer, Wine, & Liquor",1733-35 MARYLAND AVENUE,21201,"Baltimore, MD 21201"
LBD7,BWL,75,5/1/2013,4/30/2014,2013,207,Renewed,GLASS DOOR LOUNGE,"GLASS DOOR LOUNGE, INC.",-76.599969,39.2924,Tavern,7 days,"Beer, Wine, & Liquor",1263 FAYETTE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,44,5/1/2013,4/30/2014,2013,108,Renewed,GARDEN BAR,"GARDEN BAR, INC.",-76.559486,39.306941,Tavern,7 days,"Beer, Wine, & Liquor",4809-11 ERDMAN AVENUE,21205,"Baltimore, MD 21205"
LBD7,BWL,12,5/1/2013,4/30/2014,2013,27,Renewed,CAT'S EYE PUB,CAT'S EYE LTD.,-76.591526,39.281875,Tavern,7 days,"Beer, Wine, & Liquor",1730 THAMES STREET,21231,"Baltimore, MD 21231"
LBD7,BWL,118,5/1/2013,4/30/2014,2013,326,Renewed,DAVEY JONES LOCKER,"HUBBE, INC.",-76.565998,39.283225,Tavern,7 days,"Beer, Wine, & Liquor",800 DEAN STREET SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,95,5/1/2013,4/30/2014,2013,275,Renewed,LA ISLA TAVERNA,"UNION CENTRO AMERICANA, LLC",-76.571167,39.29353,Tavern,7 days,"Beer, Wine, & Liquor",3230 FAIRMOUNT AVENUE EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,76,3/5/2014,4/30/2014,2013,T0208,Transferred,EPIC LOUNGE BAR & CUTRATE,"EPIC LOUNGE BAR CUTRATE, LLC",-76.578374,39.29456,Tavern,7 days,"Beer, Wine, & Liquor",2711 FAYETTE STREET EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,27,5/1/2013,4/30/2014,2013,57,Renewed,EL ANTRO,"COMPADRES-1, LLC",-76.563011,39.291545,Tavern,7 days,"Beer, Wine, & Liquor",4020 LOMBARD STREET EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,244,5/1/2014,4/30/2015,2014,688,Renewed,FOUR G'S  LIQUOR & LOUNGE,"NEW FOUR G'S ENTERPRISES, INC.",-76.695949,39.331451,Tavern,7 days,"Beer, Wine, & Liquor",4701-03 LIBERTY HEIGHTS AVENUE,21207,"Baltimore, MD 21207"
LBD7,BWL,255,5/1/2013,4/30/2014,2013,704,Renewed,WIND UP SPACE,"10-30 W. NORTH AVENUE, LLC",-76.617381,39.311121,Tavern,7 days,"Beer, Wine, & Liquor",10-30 NORTH AVENUE WEST,21201,"Baltimore, MD 21201"
LBD7,BWL,73,5/1/2013,4/30/2014,2013,204,Renewed,O'CONNORS,4801 EASTERN AVENUE CORPORATION,-76.555604,39.287071,Tavern,7 days,"Beer, Wine, & Liquor",4801 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,263,10/23/2013,4/30/2014,2013,T0729,Closed,SECURED CREDITOR,MESHACK KANGETHE,-76.609573,39.343889,Tavern,7 days,"Beer, Wine, & Liquor",4515-17 YORK ROAD,21212,"Baltimore, MD 21212"
LBD7,BWL,26,5/1/2013,4/30/2014,2013,55,Renewed,CLUB HOUSE BAR & LIQUOR,"P.N.J., INC",-76.566678,39.312313,Tavern,7 days,"Beer, Wine, & Liquor",4217 ERDMAN AVENUE,21213,"Baltimore, MD 21213"
LBD7,BWL,236,5/1/2013,4/30/2014,2013,654,Renewed,DIVING HORSE GENTLEMAN CLUB,"5 COMMERCE STREET, LLC",-76.610227,39.289459,Tavern,7 days,"Beer, Wine, & Liquor",5-11 COMMERCE STREET,21202,"Baltimore, MD 21202"
LBD7,BWL,186,5/1/2013,4/30/2014,2013,522,Renewed,WALT'S INN,"W.J.T., INC.",-76.570954,39.28036,Tavern,7 days,"Beer, Wine, & Liquor",3201 O'DONNELL STREET,21224,"Baltimore, MD 21224"
LBD7,BWL,58,5/1/2014,4/30/2015,2014,133,Renewed,CLUB 4040 LIQUOR & GROCERY,"CLUB 4040, INC.",-76.639273,39.307318,Tavern,7 days,"Beer, Wine, & Liquor",2139-43 PENNSYLVANIA AVENUE,21217,"Baltimore, MD 21217"
LBD7,BWL,409,5/1/2013,4/30/2014,2013,1122,Renewed,CATCH 22 SALOON,"KIE-BRAN, INC.",-76.544535,39.287539,Tavern,7 days,"Beer, Wine, & Liquor",6000 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,176,5/1/2013,4/30/2014,2013,485,Renewed,LEADBETTERS,"D & D OF MARYLAND, INC.",-76.593637,39.281664,Tavern,7 days,"Beer, Wine, & Liquor",1639 THAMES STREET,21231,"Baltimore, MD 21231"
LBD7,BWL,184,5/1/2013,4/30/2014,2013,506,Renewed,CIRCUS BAR,"SILVERLUD, INC.",-76.609161,39.289784,Tavern,7 days,"Beer, Wine, & Liquor",427 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,429,5/1/2013,4/30/2014,2013,1186,Renewed,LIGHTHOUSE TAVERN,"CRP RESTAURANT INVESTMENTS, INC.",-76.569496,39.279145,Tavern,7 days,"Beer, Wine, & Liquor",1224-26 CLINTON STREET SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,237,7/1/2013,4/30/2014,2013,T0655,Transferred,GITAN BISTRO CRU,"KENWOOD TAVERN, INC.",-76.577013,39.283064,Tavern,7 days,"Beer, Wine, & Liquor",800 KENWOOD AVENUE SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,66,5/1/2013,4/30/2014,2013,189,Renewed,MARTINI'S BAR,"BROTHERS PLACE, INC.",-76.64652,39.285127,Tavern,7 days,"Beer, Wine, & Liquor",1846-50 PRATT STREET WEST,21223,"Baltimore, MD 21223"
LBD7,BWL,53,5/1/2013,4/30/2014,2013,126,Renewed,ZIASCOS,"ZIASCOS, LLC",-76.59887,39.288938,Tavern,7 days,"Beer, Wine, & Liquor",1313 PRATT STREET EAST,21231,"Baltimore, MD 21231"
LBD7,BWL,25,5/1/2013,4/30/2014,2013,50,Renewed,PENN LIQUOR,"HYUN'S LIQUORS, INC.",-76.607531,39.302356,Tavern,7 days,"Beer, Wine, & Liquor",1041 GREENMOUNT AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,193,5/1/2013,4/30/2014,2013,542,Renewed,ROBBIE'S NEST,LIQUOR STORE OF MARYLAND LLC.,-76.586091,39.312499,Tavern,7 days,"Beer, Wine, & Liquor",2250 NORTH AVENUE EAST,21213,"Baltimore, MD 21213"
LBD7,BWL,22,4/24/2016,4/30/2016,2015,T0056,Transferred,CLUB PUSSYCAT,"CLUB PUSSYCAT, INC.",-76.609703,39.289758,Tavern,7 days,"Beer, Wine, & Liquor",411 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,77,5/1/2013,4/30/2014,2013,210,Renewed,HONEY'S LOUNGE,"BERNIA , INC.",-76.59229,39.287679,Tavern,7 days,"Beer, Wine, & Liquor",1722-24 GOUGH STREET,21231,"Baltimore, MD 21231"
LBD7,BWL,228,5/1/2013,4/30/2014,2013,634,Renewed,BLARNEY STONE PUB,"BLARNEY STONE PUB, INC.",-76.593493,39.283286,Tavern,7 days,"Beer, Wine, & Liquor",704 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,45,5/1/2013,4/30/2014,2013,109,Renewed,THREE W'S TAVERN,"THREE W'S TAVERN, LLC",-76.581675,39.298863,Tavern,7 days,"Beer, Wine, & Liquor",2518 MONUMENT STREET EAST,21205,"Baltimore, MD 21205"
AE,AE,29,7/1/2013,6/30/2014,2013,1308,Renewed,CLUB ELDORADO,"ELDORADO LOUNGE, INC.",-76.562494,39.291569,Adult,,,4100-02 LOMBARD STREET EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,333,2/3/2014,4/30/2014,2013,T0902,Transferred,SILKS,"ATLANTIC CAFE, LLC",-76.578581,39.282088,Tavern,7 days,"Beer, Wine, & Liquor",2639-41 HUDSON STREET,21224,"Baltimore, MD 21224"
LBD7,BWL,231,5/1/2013,4/30/2014,2013,642,Renewed,WYLIE LIQUORS,"J & T LIQUORS, INC.",-76.666308,39.341561,Tavern,7 days,"Beer, Wine, & Liquor",3101-03 WYLIE AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,327,5/1/2013,4/30/2014,2013,887,Renewed,FREDERICK STATION SALOON,"K & S ENTERPRISE, INC.",-76.682632,39.281734,Tavern,7 days,"Beer, Wine, & Liquor",4019 FREDERICK AVENUE,21229,"Baltimore, MD 21229"
LBD7,BWL,304,5/1/2013,4/30/2014,2013,826,Renewed,GRIFFITH'S TAVERN,"GRIFFITH'S, INC.",-76.633936,39.33155,Tavern,7 days,"Beer, Wine, & Liquor",3631 HICKORY AVENUE,21211,"Baltimore, MD 21211"
LBD7,BWL,64,5/1/2013,4/30/2014,2013,179,Renewed,NORTH INN,"NAGY, INC.",-76.6163,39.311045,Tavern,7 days,"Beer, Wine, & Liquor",3 NORTH AVENUE EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,105,5/1/2013,4/30/2014,2013,292,Renewed,K&D SPORTS BAR AND LOUNGE,"CONKLING HOLDINGS, INC.",-76.567384,39.290166,Tavern,7 days,"Beer, Wine, & Liquor",200 CONKLING STREET SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,162,5/1/2013,4/30/2014,2013,447,Renewed,HOME SLYCE,1741 CORP,-76.611713,39.269684,Tavern,7 days,"Beer, Wine, & Liquor",1739-41 LIGHT STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,252,5/1/2013,4/30/2014,2013,698,Renewed,WINSTON LOUNGE,N/A,-76.58387,39.298787,Tavern,7 days,"Beer, Wine, & Liquor",2343 MONUMENT STREET EAST,21205,"Baltimore, MD 21205"
LBD7,BWL,133,5/1/2013,4/30/2014,2013,352,Renewed,MARSHALL'S BAR,"MARSHALL'S, INC.",-76.649949,39.268825,Tavern,7 days,"Beer, Wine, & Liquor",2351 WASHINGTON BOULEVARD,21230,"Baltimore, MD 21230"
LBD7,BWL,171,5/1/2013,4/30/2014,2013,472,Renewed,8 X 10 CLUB,"CONSENSUAL REALITY, LLC",-76.613842,39.276889,Tavern,7 days,"Beer, Wine, & Liquor",8-10 CROSS STREET EAST,21230,"Baltimore, MD 21230"
